,Title_job,Job_link,Company_link,Address,Salary,date
1,Java Developer ,/it-jobs/java-developer-spring-aws-incepit-1739,/companies/incepit,Ho Chi Minh,1200 - 2000 ,8/12/2021
5,Omni-channel Technical leader,/it-jobs/omni-channel-technical-leader-central-retail-0740,/companies/central-retail,Ho Chi Minh,1500 - 3000 ,8/12/2021
8,Senior Tester ,/it-jobs/senior-tester-qa-qc-web-b2be-gss-vietnam-4455,/companies/b2be-gss-vietnam,Ho Chi Minh,1000 - 1500 ,8/12/2021
14,Frontend Developer ,/it-jobs/frontend-dev-javascpit-nodejs-reactj-missing-corner-3748,/companies/missing-corner,Ha Noi,1200 - 2000 ,8/12/2021
15,Data Engineer ,/it-jobs/data-engineer-python-nodejs-java-40m-knorex-5036,/companies/knorex,Ho Chi Minh,700 - 2000 ,8/12/2021
18,Senior QA QC Engineer / Manual Tester,/it-jobs/senior-manual-qa-engineer-leapxpert-0547,/companies/leapxpert,Ho Chi Minh,1300 - 1900 ,8/12/2021
21,.NET Developer ,/it-jobs/net-developer-asp-net-c-bbv-vietnam-3244,/companies/bbv-vietnam,Ho Chi Minh,1000 - 1500 ,8/12/2021
23,Senior Graphic Designer / UI-UX Designer,/it-jobs/senior-graphic-designer-ui-ux-designer-blue-belt-technology-2718,/companies/blue-belt-technology,Ho Chi Minh,1200 - 1800 ,8/12/2021
24, Mobile Developers ,/it-jobs/urgent-mobile-developers-ios-android-bbv-vietnam-3208,/companies/bbv-vietnam,Ho Chi Minh,1000 - 1800 ,8/12/2021
27,QC Engineers ,/it-jobs/qc-engineers-tester-qa-qc-bbv-vietnam-3121,/companies/bbv-vietnam,Ho Chi Minh,500 - 1200 ,8/12/2021
28,Test Engineer ,/it-jobs/test-engineer-qa-qc-tester-english-personify-incorporation-2127,/companies/personify-incorporation,Ho Chi Minh,600 - 1500 ,8/12/2021
29,Application Development ,/it-jobs/application-development-android-java-dai-ichi-life-viet-nam-3212,/companies/dai-ichi-life-viet-nam,Ho Chi Minh,1500 - 1800 ,8/12/2021
30,Fresher/Junior PHP Devs ,/it-jobs/fresher-junior-php-devs-laravel-html5-metech-media-technology-0115,/companies/metech-media-technology,Ho Chi Minh,800,8/12/2021
31,Senior JavaScript Dev ,/it-jobs/senior-javascript-dev-react-nodejs-scandinavian-software-park-0357,/companies/scandinavian-software-park,Ho Chi Minh,1000 - 2200 ,8/12/2021
33,Technical Leader ,/it-jobs/technical-leader-java-reactjs-nodejs-blue-belt-technology-5612,/companies/blue-belt-technology,Ha Noi,2000 - 4000 ,8/12/2021
39,Mobile Developer,/it-jobs/mobile-developer-android-ios-hblab-5018,/companies/hblab,Ha Noi,600 - 1500 ,8/12/2021
40,Remote/Full-time Ruby on Rails Developer,/it-jobs/remote-full-time-ruby-on-rails-developer-saigon-technology-solutions-2326,/companies/saigon-technology-solutions,Ho Chi Minh,2500,8/12/2021
41,NodeJS Developer,/it-jobs/nodejs-developer-vnext-software-5547,/companies/vnext-software,Ha Noi,900,8/12/2021
47,Java Developer ,/it-jobs/java-developer-hblab-2001,/companies/hblab,Ho Chi Minh,600 - 1600 ,8/12/2021
49,Frontend Angular Developer ,/it-jobs/frontend-angular-developer-javascript-saigon-technology-solutions-5532,/companies/saigon-technology-solutions,Ha Noi,1800,8/12/2021
51,Software Architecture ,/it-jobs/software-architecture-java-net-toshiba-software-development-viet-nam-co-ltd-3225,/companies/toshiba-software-development-viet-nam-co-ltd,Ho Chi Minh,2000 - 3500 ,8/12/2021
52,Senior Software Engineer ,/it-jobs/sr-software-engineer-c-c-net-java-hti-technologies-3629,/companies/hti-group,Da Nang,1000 - 1500 ,8/12/2021
55,05 Java Developer ,/it-jobs/05-java-developer-spring-j2ee-1500-cmc-technology-solution-4914,/companies/cmc-technology-solution,Ha Noi,700 - 1500 ,8/12/2021
61,Solution Architect,/it-jobs/solution-architect-cmc-sai-gon-technology-solution-3742,/companies/cmc-sai-gon-technology-solution,Ho Chi Minh,2000 - 3000 ,8/12/2021
62,Infrastructure Design Lead-Blue Project,/it-jobs/infrastructure-design-lead-blue-project-ngan-hang-a-chau-acb-2115,/companies/ngan-hang-a-chau-acb,Ho Chi Minh,2000 - 4000 ,8/12/2021
63,Frontend Developer ,/it-jobs/frontend-developer-vuejs-reactjs-grapecity-0744,/companies/grapecity,Ha Noi,1000 - 2000 ,8/12/2021
64,Full Stack Developer ,/it-jobs/full-stack-developer-php-react-tcgold-4449,/companies/tcgold,Ho Chi Minh,1500 - 3000 ,8/12/2021
66,iOS Developer ,/it-jobs/ios-developer-1-500-macbook-swag-soft-2947,/companies/swag-soft,Ha Noi,800 - 1500 ,8/12/2021
68,Jr/Senior Java Devs ,/it-jobs/jr-sr-java-devs-spring-mysql-2000-dac-data-science-vietnam-2158,/companies/dac-data-science-vietnam,Ho Chi Minh,800 - 2000 ,8/12/2021
70,Java Developer ,/it-jobs/java-developer-oop-english-java-core-tibco-0608,/companies/tibco,Ha Noi,2200,8/12/2021
71,Java Backend Developer ~ Up to 1800$,/it-jobs/java-backend-developer-up-to-1800-sunshine-group-4405,/companies/sunshine-group,Ha Noi,1000 - 1800 ,8/12/2021
76,Automation Tester ,/it-jobs/qc-automation-test-saigon-valley-company-4055,/companies/saigon-valley-company,Ho Chi Minh,1300 - 2200 ,8/12/2021
78,4 Backend Dev ,/it-jobs/4-backend-dev-nodejs-javascript-sql-synnex-fpt-5938,/companies/synnex-fpt,Ho Chi Minh,1000 - 2000 ,8/12/2021
79,Solution Lead ,/it-jobs/solution-lead-c-java-javascript-waverley-software-4228,/companies/waverley-software,Da Nang,1600 - 3500 ,8/12/2021
80,Middle/Senior Java Developer ,/it-jobs/middle-senior-java-developer-spring-sgh-asia-ltd-1233,/companies/sgh-asia-ltd,Ho Chi Minh,1500 - 3000 ,8/12/2021
