,Title_job,Job_link,Company_link,Address,Salary,date
0,Frontend Tech lead x5,/it-jobs/frontend-tech-lead-x5-niteco-vietnam-co-ltd-4551,/companies/niteco-vietnam-co-ltd,Ha Noi,You'll love it,10/17/2021
1,Infrastructure/DevOps Specialist,/it-jobs/infrastructure-devops-specialist-niteco-vietnam-co-ltd-4243,/companies/niteco-vietnam-co-ltd,Ha Noi,You'll love it,10/17/2021
2,Senior Ruby on Rails Engineer,/it-jobs/senior-ruby-on-rails-engineer-positive-thinking-company-b-o-t-4513,/companies/positive-thinking-company-b-o-t,Ho Chi Minh,You'll love it,10/17/2021
3,"[HN, HCM] Senior Data Architect ",/it-jobs/hn-hcm-senior-data-architect-techcombank-3150,/companies/techcombank,Ha Noi,You'll love it,10/17/2021
4,"12 Junior Java Dev (Spring, AngularJS)",/it-jobs/12-junior-java-dev-spring-angularjs-vnpt-technology-5124,/companies/vnpt-technology,Ho Chi Minh,You'll love it,10/17/2021
5,Product Manager (Agile),/it-jobs/product-manager-agile-houze-group-2623,/companies/houze-group,Ha Noi,"1,200 - 1,700 USD",10/17/2021
6,IT - Help Desk (SQL/ OracleDatabase),/it-jobs/it-help-desk-sql-oracledatabase-ngan-hang-tmcp-phuong-dong-ocb-0751,/companies/ngan-hang-tmcp-phuong-dong-ocb,Ho Chi Minh,"800 - 1,500 USD",10/17/2021
7,IT - Front End Developer (React Native),/it-jobs/it-front-end-developer-react-native-ngan-hang-tmcp-phuong-dong-ocb-0345,/companies/ngan-hang-tmcp-phuong-dong-ocb,Ho Chi Minh,"700 - 1,200 USD",10/17/2021
8,Fullstack Java Developer - Up to $3000,/it-jobs/fullstack-java-developer-up-to-3000-ifi-solution-an-ntt-data-company-2110,/companies/ifi-solution-an-ntt-data-company,Ho Chi Minh,"1,000 - 3,000 USD",10/17/2021
9,Java Developer - Up to $3000,/it-jobs/java-developer-up-to-3000-ifi-solution-an-ntt-data-company-2501,/companies/ifi-solution-an-ntt-data-company,Ha Noi,"1,000 - 3,000 USD",10/17/2021
10,"DevOps Engineer (CI/CD,Cloud/Java)",/it-jobs/devops-engineer-ci-cd-cloud-java-ifi-solution-an-ntt-data-company-2015,/companies/ifi-solution-an-ntt-data-company,Ha Noi,"1,000 - 3,000 USD",10/17/2021
11,Automation Tester (QA QC),/it-jobs/automation-tester-qa-qc-ifi-solution-an-ntt-data-company-2127,/companies/ifi-solution-an-ntt-data-company,Ha Noi,You'll love it,10/17/2021
12,"iOS Dev (Swift, Objective C) Up to $2000",/it-jobs/ios-dev-swift-objective-c-up-to-2000-vntravel-group-1858,/companies/vntravel-group,Ha Noi,"500 - 2,000 USD",10/17/2021
13,Jr Software Tester/Jr QA Tester/Engineer,/it-jobs/jr-software-tester-jr-qa-tester-engineer-emotiv-technology-vietnam-4207,/companies/emotiv-technology-vietnam,Ha Noi,You'll love it,10/17/2021
14,Experienced Laravel Dev (PHP/JavaScript),/it-jobs/experienced-laravel-dev-php-javascript-ninasoft-4307,/companies/ninasoft,Ha Noi,"800 - 1,500 USD",10/17/2021
15,"Embedded Software Developer (C, Linux)",/it-jobs/embedded-software-developer-c-linux-dek-technologies-3851,/companies/dek-technologies,Ha Noi,You'll love it,10/17/2021
16,"Junior Java Developer (Spring, Angular)",/it-jobs/junior-java-developer-spring-angular-nodo-jsc-3918,/companies/nodo-jsc,Ho Chi Minh,You'll love it,10/17/2021
17,"Senior Data Analyst (SQL, Agile)",/it-jobs/senior-data-analyst-sql-agile-vinid-a-member-of-one-mount-group-0855,/companies/vinid-a-member-of-one-mount-group,Ha Noi,You'll love it,10/17/2021
18,IT - Database Administrator (DBA),/it-jobs/it-database-administrator-dba-ngan-hang-a-chau-acb-5349,/companies/ngan-hang-a-chau-acb,Ha Noi,You'll love it,10/17/2021
19,IT - Senior DevOps Engineer,/it-jobs/it-senior-devops-engineer-ngan-hang-a-chau-acb-3805,/companies/ngan-hang-a-chau-acb,Ho Chi Minh,You'll love it,10/17/2021
